contributor,bothunter
matbech,Human
oxygen-dioxide,Human
gertd,Human
babblebauble,Human
mecgmecg,Human
DattatreyaReddy,Human
wingetbot,Bot
Cyberboss,Human
Rust-Winget-Bot,Bot
microsoft-github-policy-service[bot],Bot
LeonGungadinMogensen,Bot
TheBossMagnus,Human
erikbra,Human
MabelYT,Human
Alphrag,Human
Dragon1573,Human
doms9,Bot
prql-bot,Bot
pxwiz,Human
jnichols35,Human
ClementTsang,Human
kbdharun,Human
dotnet-winget-bot,Bot
Witchilich,Human
momento-github-actions-machine-user,Bot
ousugo,Human
anamnavi,Human
tiksn,Human
BiosPlus,Human
chausner,Human
SpecterShell,Human
Masamune3210,Human
matracey,Human
azure-sdk,Bot
rsteube-bot,Bot
nebula-it,Human
JamieMagee,Human
blockstack-devops,Bot
ryfu-msft,Human
PckgrBot,Bot
